			Number of Nodes 	Number of Edges 	Network Density
esophagus_top.gz	25825			120460773		0.3613
eye_top.gz		25825			86540359		0.2595
fetus_top.gz		25689			30879035		0.0936
forebrain_top.gz	25825			92791010		0.2783
frontal_lobe_top.gz	25825			164127159		0.4922
gastrointestinal_tract_top.gz	25825			65402897		0.1961
glia_top.gz		25825			203276776		0.6096
granulocyte_top.gz	25825			64936767		0.1947
hair_follicle_top.gz	25825			77183434		0.2315
heart_top.gz		25825			61614436		0.1848
hematopoietic_stem_cell_top.gz	25825			65864047		0.1975
hepatocyte_top.gz	25825			129962987		0.3897
hippocampus_top.gz	25825			86048795		0.2581
hypophysis_top.gz	25825			120184733		0.3604
hypothalamus_top.gz	25825			219266336		0.6576
ileum_top.gz		25825			210167667		0.6303
intestine_top.gz	25825			63485821		0.1904
jejunum_top.gz		25825			237819740		0.7132
keratinocyte_top.gz	25825			90148878		0.2704
kidney_top.gz		25825			61727567		0.1851
large_intestine_top.gz	25825			63946506		0.1918
lens_top.gz		25825			198048487		0.5939
leukocyte_top.gz	25825			63972455		0.1918
liver_top.gz		25825			60510967		0.1815
locus_ceruleus_top.gz	25825			226218161		0.6784
lung_top.gz		25825			59798192		0.1793
lymph_node_top.gz	25825			80331157		0.2409
lymphocyte_top.gz	25825			65246926		0.1957
macrophage_top.gz	25825			65094209		0.1952
mammary_epithelium_top.gz	25825			114461328		0.3433
mammary_gland_top.gz	25825			68006737		0.2039
mast_cell_top.gz	25825			123278168		0.3697
medulla_oblongata_top.gz	25825			180259386		0.5406
megakaryocyte_top.gz	25825			64093823		0.1922
midbrain_top.gz		25825			93292463		0.2798
monocyte_top.gz		25825			64610565		0.1938
mononuclear_phagocyte_top.gz	25825			67534689		0.2025
muscle_top.gz		25825			68751101		0.2062
myometrium_top.gz	25825			98034718		0.2940
natural_killer_cell_top.gz	25825			204667886		0.6138
nephron_top.gz		25825			74982579		0.2249
nervous_system_top.gz	25689			41197756		0.1249
neuron_top.gz		25825			126769446		0.3802
neutrophil_top.gz	25825			65117102		0.1953
nucleus_accumbens_top.gz	25825			138778007		0.4162
occipital_lobe_top.gz	25825			126207062		0.3785
occipital_pole_top.gz	25825			206066172		0.6180
osteoblast_top.gz	25825			74321768		0.2229
ovarian_follicle_top.gz	25825			99608085		0.2987
ovary_top.gz		25825			64594988		0.1937
oviduct_top.gz		25825			88912101		0.2666
pancreas_top.gz		25825			64458733		0.1933
pancreatic_islet_top.gz	25825			94498515		0.2834
parietal_lobe_top.gz	25825			255422127		0.7660
peripheral_nervous_system_top.gz	25825			87608268		0.2627
placenta_top.gz		25825			61454774		0.1843
podocyte_top.gz		25825			224167831		0.6723
pons_top.gz		25825			240800372		0.7221
prostate_gland_top.gz	25825			66884562		0.2006
renal_glomerulus_top.gz	25825			90207729		0.2705
renal_tubule_top.gz	25825			103088769		0.3092
retina_top.gz		25825			143656933		0.4308
salivary_gland_top.gz	25825			81617808		0.2448
serum_top.gz		25825			98858572		0.2965
skeletal_muscle_top.gz	25825			63242769		0.1897
skin_fibroblast_top.gz	25825			87916741		0.2637
skin_top.gz		25825			77472848		0.2323
small_intestine_top.gz	25825			67703057		0.2030
smooth_muscle_top.gz	25825			84285353		0.2528
spermatid_top.gz	25825			105889426		0.3176
spermatocyte_top.gz	25825			129122513		0.3872
spermatogonium_top.gz	25825			128962580		0.3867
spinal_cord_top.gz	25825			73341774		0.2199
spleen_top.gz		25825			66036703		0.1980
stomach_top.gz		25825			91921490		0.2757
substantia_nigra_top.gz	25825			98094678		0.2942
subthalamic_nucleus_top.gz	25825			85548615		0.2566
t_lymphocyte_top.gz	25825			67538714		0.2025
tear_gland_top.gz	25825			118226946		0.3546
telencephalon_top.gz	25825			88784738		0.2663
temporal_lobe_top.gz	25825			92396363		0.2771
testis_top.gz		25825			62099512		0.1862
thalamus_top.gz		25825			113642989		0.3408
thymocyte_top.gz	25825			77152824		0.2314
thyroid_gland_top.gz	25825			83728113		0.2511
tonsil_top.gz		25825			149121644		0.4472
tooth_top.gz		25825			90213500		0.2705
trachea_top.gz		25825			96361400		0.2890
trophoblast_top.gz	25825			88648276		0.2658
umbilical_cord_top.gz	25825			71902084		0.2156
umbilical_vein_endothelial_cell_top.gz	25825			71553418		0.2146
urinary_bladder_top.gz	25825			215812287		0.6472
uroepithelium_top.gz	25825			79355254		0.2380
uterine_cervix_top.gz	25825			89798723		0.2693
uterine_endometrium_top.gz	25825			77194064		0.2315
uterus_top.gz		25825			74378091		0.2231
vascular_endothelial_cell_top.gz	25825			65064145		0.1951
vascular_endothelium_top.gz	25825			63028279		0.1890
vermiform_appendix_top.gz	25825			210274061		0.6306
